Node1	Node2	Pvalue	Cor
Ftrad_Otu_00093	BacV5_Otu_000006	0	0.578251468375
Ftrad_Otu_00098	BacV5_Otu_000006	0.001	-0.432652238416
Ftrad_Otu_00099	BacV5_Otu_000006	0.001	0.442860462105
Ftrad_Otu_00110	BacV5_Otu_000006	0	-0.418862582768
Ftrad_Otu_00113	BacV5_Otu_000006	0	0.800971543132
Ftrad_Otu_00125	BacV5_Otu_000006	0	-0.609209956632
Ftrad_Otu_00131	BacV5_Otu_000006	0	0.710313267551
Ftrad_Otu_00132	BacV5_Otu_000006	0	0.550243656921
Ftrad_Otu_00134	BacV5_Otu_000006	0	0.588231170803
Ftrad_Otu_00145	BacV5_Otu_000006	0	-0.427711575443
Ftrad_Otu_00153	BacV5_Otu_000006	0	0.456459093175
Ftrad_Otu_00154	BacV5_Otu_000006	0	0.802358661954
Ftrad_Otu_00159	BacV5_Otu_000006	0.001	0.426146812962
Ftrad_Otu_00176	BacV5_Otu_000006	0	0.642906271119
Ftrad_Otu_00187	BacV5_Otu_000006	0	0.582851411514
Ftrad_Otu_00222	BacV5_Otu_000006	0	-0.503364698964
Ftrad_Otu_00229	BacV5_Otu_000006	0	0.521760385091
Ftrad_Otu_00256	BacV5_Otu_000006	0	0.459321741629
Ftrad_Otu_00311	BacV5_Otu_000006	0.001	-0.445115826883
Ftrad_Otu_00330	BacV5_Otu_000006	0	-0.654910977403
Ftrad_Otu_00353	BacV5_Otu_000006	0	0.58844604785
Otrad_Otu_00003	BacV5_Otu_000006	0.001	0.54004748761
Otrad_Otu_00011	BacV5_Otu_000006	0.001	0.448390652366
Otrad_Otu_00024	BacV5_Otu_000006	0	-0.499164212205
BacV5_Otu_000009	BacV5_Otu_000007	0.001	-0.464208972637
BacV5_Otu_000010	BacV5_Otu_000007	0	0.752411609009
BacV5_Otu_000014	BacV5_Otu_000007	0	0.611149045149
BacV5_Otu_000015	BacV5_Otu_000007	0.001	0.455915831855
BacV5_Otu_000016	BacV5_Otu_000007	0.001	0.480619834776
BacV5_Otu_000022	BacV5_Otu_000007	0.001	0.428967183817
BacV5_Otu_000031	BacV5_Otu_000007	0	0.681608600687
BacV5_Otu_000053	BacV5_Otu_000007	0	0.497814694437
BacV5_Otu_000056	BacV5_Otu_000007	0.001	0.509525921585
BacV5_Otu_000064	BacV5_Otu_000007	0.001	0.484197740543
BacV5_Otu_000066	BacV5_Otu_000007	0	0.560811012759
BacV5_Otu_000072	BacV5_Otu_000007	0	0.463818179613
BacV5_Otu_000083	BacV5_Otu_000007	0	0.453266756136
BacV5_Otu_000084	BacV5_Otu_000007	0	-0.505707383986
BacV5_Otu_000085	BacV5_Otu_000007	0	0.682917619726
BacV5_Otu_000086	BacV5_Otu_000007	0	0.448359248416
BacV5_Otu_000096	BacV5_Otu_000007	0	0.534211746013
