ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000061	0.000529448	0.000337893	0.000107512	0.002185265	0.000197631	0.001209454	0.000353631	0.000192677	0	0	0.000592489	0.000529563	6.17729E-05	0.002295966	0	0.000202516	0.000206267	0.000398641	5.26769E-05	0.000179009	0.000287031	0.000416959	0.000639661	0	0.000230806	0.001636929	0.000298929	0.000332233	0.000477947	0.00070843	0.001039797	0.004205236	0	0	2.72311E-05	0.000129005	0	0	0.000391735	0
BacV5_Otu_000062	0.000117711	6.75997E-05	0.000752025	0.00010431	0.000131764	0.000504349	0.000176852	0.00153903	0.000642804	0.001126575	0.004228418	0.001058481	0.000802363	0.000470056	0.000410176	0.001819249	0.000515483	0.000597824	0.002652228	0.001358624	0.002449604	0.002687158	0.00230546	0.001579315	0.000856662	0.002166503	0.000896171	0.001227993	0.000477947	0.000327111	0.009164319	0.003093523	0.004265683	0.000668977	0.000462696	0.003981435	0.00115284	0.000808635	0.00011196	0.001066277
BacV5_Otu_000063	0.000353037	0	0.000214997	0.00041709	0.000131764	0.001008112	0.000141487	0.000288984	0.000321521	0.000788909	0.000395083	0	0.000493937	0.000296937	0.000410176	0.002222493	0.00092743	0.002386376	0.002259356	0.001215811	0.001242435	0.001057653	0.000994622	0.000504661	0.000626188	0.002695431	0.001542258	0.000763755	0.002780638	0.000926176	0.004215444	0.003264741	0.001487155	0.00128558	0.002118911	0.003981435	0.002202766	0.001615767	0.000727227	0.001279219
BacV5_Otu_000064	0.000294218	0.000337893	0.001073924	0.000625484	6.5887E-05	0.00020181	0.000247572	0.00153903	0.00016079	0.00135154	0.004032658	0.000529563	0.00129539	0.000964303	0.002822362	0.000708391	0.001750152	0.007683768	0.002887781	0.00078709	0.002925195	0.002687158	0.008835799	0.001948115	0.004527701	0.001327713	4.98358E-05	0.000631025	0.001511698	0.00369291	0.000251214	0.005654733	0.00200192	0.000617554	0.001250865	0.001716921	0	5.78096E-05	0.00016793	0
BacV5_Otu_000065	0.001175676	0.000270336	0.000644673	0.002289051	0.000592624	0.001008112	0.000883539	0.000962532	0.001044074	0.001126575	0.001184171	0.000423702	0.000679019	0.00039587	0.000574138	0.001213679	0.001133256	0.002336793	0.001288748	0.001215811	0.001019695	0.001409632	0.000391016	0.000739969	0.000527376	0.002122396	0.001988987	0.001724841	0.002384493	0.001470064	0.000824871	0.001978958	0.000911108	0.001798749	0.000408287	0.004364805	0.001653121	0.003282926	0.001564825	0.002059113
BacV5_Otu_000066	0.000176554	0	0.003747171	0.001458064	0.000329335	0.003217756	0.000141487	0.000577775	0.000241163	0.000225549	0.002659859	0.001164187	0.000432226	0.002812734	0.001106588	0.001617486	0.002571319	0.000597824	0.004741568	0.001251518	0.001401465	0.002750935	0.001809933	0.007674426	0.004723491	0.002210605	0.000448317	0.000431853	0.001987985	0.000327111	0.000179453	0.000172442	0.003633018	0.000360346	0.000136138	8.60074E-05	0.000100368	0.000231192	5.59838E-05	7.11667E-05
BacV5_Otu_000067	0.007006785	0.002695815	0.002145198	0.000312855	0.000461	0	0	0.012630422	0.000803357	0	9.88043E-05	0	0.000123537	0.000445329	0.002292013	0.000202516	0.029701812	4.98501E-05	0.001866127	0.000715595	0.000191375	0.00067335	0.00028441	0.002149146	0.00128436	0	0	0	0	0	0	0	0	0.000154471	0	0.000257971	0	0	0.003846052	0
BacV5_Otu_000068	0.000294218	0.000405441	0.000322456	0.000208595	6.5887E-05	0.00020181	0.00010612	0.001250877	0.000321521	0.000225549	0.002266832	0	0.000123537	0.000692536	0.000123094	0.000303738	0.000618506	0.000697382	0.001104875	0.00057257	0.000318912	0.000737424	0.000888164	0.000773574	0.001054113	4.43225E-05	0	0.00019937	0	0	0.000824871	0.000689356	3.04011E-05	0.000154471	0.007558772	0.00090223	0.000150544	5.78096E-05	0.000615425	7.11667E-05
BacV5_Otu_000069	0.000176554	6.75997E-05	0.000107512	0.00041709	0	0.000302679	3.53761E-05	0	0.00016079	0.00033828	0	0.000105964	0.000493937	0.000222721	0.000779004	0.006633648	0.000206267	0.000299015	0.002940109	0.001322925	0.001909969	0.00826405	0.001739097	6.7322E-05	0.003449277	0.002298795	0.00054788	0.000332233	0.000557554	0.001089414	0.000645684	0.001033625	0.003693311	0.0004118	0.00081619	0.002145092	0.001052714	0.000462261	0.000335795	7.11667E-05
BacV5_Otu_000071	0.000411849	6.75997E-05	0.000214997	0.00041709	0.000197631	0.000100917	0.000141487	0.000288984	0.000241163	0.00033828	0.000691159	0.000105964	0.000864022	0.000247461	0.000574138	0.001617486	0.000412435	0.001642041	0.00273076	0.001465703	0.001210622	0.001537554	0.000568634	0.000773574	0.000263768	0.002254702	0.000796688	0.000597836	0.001670518	0.000980595	0.001826952	0.00137762	0.001335638	0.000720394	0.000625883	0.002786559	0.001653121	0.001385311	0.001899413	0.000853231
BacV5_Otu_000072	0.002113931	0.000405441	0.000859351	0.00249655	0.000329335	0.001410703	0.000954144	0.001250877	0.00096385	0.000225549	0.001676624	0.000635398	0.001849376	0.000766671	0.000533153	0.00563504	0.001338986	0.00253509	0.002206946	0.002214517	0.002513046	0.001313666	0.000710677	0.000739969	0.000461489	0.000354454	0.00054788	0.000498254	0.001273358	0.000653976	0.001039797	0.000430976	0.001244702	0.000771805	0.00122371	0.001288326	0.001603119	0.001961222	0.000783118	0.001137269
