"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143836","true","true","0.4672131147540984","85.5","183","Ftrad_Otu_00062","false","Ftrad_Otu_00062"
"143837","true","true","0.5000000000000001","22.500000000000004","45","Ftrad_Otu_00095","false","Ftrad_Otu_00095"
"143838","true","true","0.4722222222222222","93.5","198","Ftrad_Otu_00105","false","Ftrad_Otu_00105"
"143839","true","true","0.5","4.5","9","Ftrad_Otu_00126","false","Ftrad_Otu_00126"
"143840","true","true","0.4583333333333334","38.50000000000001","84","Otrad_Otu_00002","false","Otrad_Otu_00002"
"143841","true","true","0.5","8.5","17","BacV5_Otu_000055","false","BacV5_Otu_000055"
"143842","true","true","0.4842105263157894","45.99999999999999","95","Ftrad_Otu_00156","false","Ftrad_Otu_00156"
"143843","true","true","0.45652173913043476","42.0","92","BacV5_Otu_000048","false","BacV5_Otu_000048"
"143844","true","false","0.4999999999999999","18.999999999999996","38","BacV5_Otu_000355","false","BacV5_Otu_000355"
"143845","true","true","0.44782608695652176","51.5","115","BacV5_Otu_000387","false","BacV5_Otu_000387"
"143846","true","true","0.5","50.5","101","Ftrad_Otu_00067","false","Ftrad_Otu_00067"
"143847","true","false","0.5000000000000001","10.000000000000002","20","BacV5_Otu_000253","false","BacV5_Otu_000253"
"143848","true","false","0.5000000000000001","22.500000000000004","45","BacV5_Otu_000432","false","BacV5_Otu_000432"
"143849","true","false","0.5","15.0","30","BacV5_Otu_000567","false","BacV5_Otu_000567"
"143850","true","true","0.46753246753246747","35.99999999999999","77","BacV5_Otu_000149","false","BacV5_Otu_000149"
"143851","true","true","0.4285714285714285","2.9999999999999996","7","BacV5_Otu_000163","false","BacV5_Otu_000163"
"143852","true","true","0.4740932642487047","91.5","193","BacV5_Otu_000041","false","BacV5_Otu_000041"
"143853","true","true","0.468944099378882","75.5","161","BacV5_Otu_000059","false","BacV5_Otu_000059"
"143854","true","true","0.4833333333333334","29.000000000000004","60","BacV5_Otu_000197","false","BacV5_Otu_000197"
"143855","true","true","0.4557823129251701","67.0","147","Ftrad_Otu_00052","false","Ftrad_Otu_00052"
"143856","true","true","0.4968152866242038","78.0","157","BacV5_Otu_000013","false","BacV5_Otu_000013"
"143857","true","true","0.4444444444444444","8.0","18","BacV5_Otu_000141","false","BacV5_Otu_000141"
"143858","true","true","0.5","10.5","21","BacV5_Otu_000166","false","BacV5_Otu_000166"
"143859","true","true","0.48076923076923084","62.50000000000001","130","BacV5_Otu_000143","false","BacV5_Otu_000143"
"143860","true","true","0.5000000000000001","10.000000000000002","20","Otrad_Otu_00010","false","Otrad_Otu_00010"
"143861","true","true","0.4452554744525548","61.00000000000001","137","BacV5_Otu_000057","false","BacV5_Otu_000057"
"143862","true","true","0.5","8.5","17","BacV5_Otu_000061","false","BacV5_Otu_000061"
"143863","true","false","0.5","10.5","21","BacV5_Otu_000500","false","BacV5_Otu_000500"
"143864","true","false","0.49999999999999994","14.499999999999998","29","BacV5_Otu_000548","false","BacV5_Otu_000548"
"143865","true","true","0.48484848484848486","32.0","66","Ftrad_Otu_00107","false","Ftrad_Otu_00107"
"143866","true","true","0.4487179487179487","52.49999999999999","117","BacV5_Otu_000030","false","BacV5_Otu_000030"
"143867","true","true","0.44751381215469616","81.0","181","BacV5_Otu_000103","false","BacV5_Otu_000103"
"143868","true","true","0.463855421686747","77.0","166","BacV5_Otu_000180","false","BacV5_Otu_000180"
"143869","true","true","0.45323741007194246","63.0","139","BacV5_Otu_000195","false","BacV5_Otu_000195"
"143870","true","true","0.4416058394160584","60.5","137","BacV5_Otu_000208","false","BacV5_Otu_000208"
"143871","true","false","0.5","17.5","35","BacV5_Otu_000423","false","BacV5_Otu_000423"
"143872","true","false","0.49999999999999994","14.499999999999998","29","BacV5_Otu_000450","false","BacV5_Otu_000450"
"143873","true","false","0.5","23.5","47","BacV5_Otu_000488","false","BacV5_Otu_000488"
