"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"103683","true","false","0.5","0.5","1","Ftrad_Otu_00265","false","Ftrad_Otu_00265"
"103684","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00292","false","Ftrad_Otu_00292"
"103685","true","true","0.49999999999999994","1.4999999999999998","3","Otrad_Otu_00008","false","Otrad_Otu_00008"
"116434","false","true","0.5000000000000001","37.50000000000001","75","BacV5_Otu_000067","false","BacV5_Otu_000067"
"116435","false","true","0.49999999999999994","63.49999999999999","127","BacV5_Otu_000225","false","BacV5_Otu_000225"
"116436","false","true","0.5000000000000001","66.50000000000001","133","BacV5_Otu_000278","false","BacV5_Otu_000278"
"116437","false","true","0.5","49.5","99","BacV5_Otu_000289","false","BacV5_Otu_000289"
"116438","false","true","0.5000000000000001","54.50000000000001","109","BacV5_Otu_000347","false","BacV5_Otu_000347"
"116439","false","true","0.5000000000000001","58.50000000000001","117","BacV5_Otu_000408","false","BacV5_Otu_000408"
"116440","false","true","0.5","65.5","131","BacV5_Otu_000689","false","BacV5_Otu_000689"
"116441","false","true","0.49999999999999994","12.999999999999998","26","Ftrad_Otu_00229","false","Ftrad_Otu_00229"
"116442","false","true","0.5000000000000001","39.00000000000001","78","BacV5_Otu_000175","false","BacV5_Otu_000175"
"116443","false","true","0.5000000000000001","43.50000000000001","87","BacV5_Otu_000200","false","BacV5_Otu_000200"
"116444","false","true","0.49999999999999994","45.99999999999999","92","BacV5_Otu_000253","false","BacV5_Otu_000253"
"116445","false","true","0.5","41.5","83","BacV5_Otu_000254","false","BacV5_Otu_000254"
"116446","false","true","0.49999999999999994","44.49999999999999","89","BacV5_Otu_000262","false","BacV5_Otu_000262"
"116447","false","true","0.5000000000000001","61.50000000000001","123","BacV5_Otu_000290","false","BacV5_Otu_000290"
"116448","false","true","0.5","66.0","132","BacV5_Otu_000291","false","BacV5_Otu_000291"
"116449","false","true","0.5","70.0","140","BacV5_Otu_000782","false","BacV5_Otu_000782"
"116450","false","true","0.5000000000000001","33.00000000000001","66","Ftrad_Otu_00158","false","Ftrad_Otu_00158"
"116451","false","true","0.5","44.0","88","Ftrad_Otu_00216","false","Ftrad_Otu_00216"
"116452","false","true","0.5","17.5","35","Ftrad_Otu_00040","false","Ftrad_Otu_00040"
"116453","false","true","0.5","26.5","53","Ftrad_Otu_00187","false","Ftrad_Otu_00187"
"116454","false","true","0.5","13.5","27","Ftrad_Otu_00235","false","Ftrad_Otu_00235"
"116455","false","true","0.5","39.5","79","Ftrad_Otu_00300","false","Ftrad_Otu_00300"
"116456","false","true","0.4999999999999999","36.49999999999999","73","Ftrad_Otu_00311","false","Ftrad_Otu_00311"
