"SUID","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","0.001_ 3_corsparcc.txt(1)_Cor","0.001_ 3_corsparcc.txt(1)_name","0.001_ 3_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"45670","0.407069996584","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00219","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00219","false","interacts with","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00219"
"45671","0.522119312659","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00017","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00017","false","interacts with","Ftrad_Otu_00384 (interacts with) Ftrad_Otu_00017"
"45672","-0.354456104141","Ftrad_Otu_00384 (interacts with) BacV5_Otu_000085","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00384 (interacts with) BacV5_Otu_000085","false","interacts with","Ftrad_Otu_00384 (interacts with) BacV5_Otu_000085"
"45673","-0.466926677268","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000129","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000129","false","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000129"
"45674","-0.449080462042","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000104","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000104","false","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000104"
"45675","-0.447373166296","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000085","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000085","false","interacts with","Ftrad_Otu_00001 (interacts with) BacV5_Otu_000085"
"45676","0.423203867654","BacV5_Otu_000129 (interacts with) BacV5_Otu_000104","true","0.0","0.48954816748","BacV5_Otu_000129 (interacts with) BacV5_Otu_000104","true","0.0","0.0","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000104","false","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000104"
"45677","0.417447968704","BacV5_Otu_000129 (interacts with) BacV5_Otu_000096","true","0.001","0.61419827542","BacV5_Otu_000129 (interacts with) BacV5_Otu_000096","true","0.0","0.0","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000096","false","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000096"
"45678","0.449061451403","BacV5_Otu_000129 (interacts with) BacV5_Otu_000085","true","0.0","0.541770698218","BacV5_Otu_000129 (interacts with) BacV5_Otu_000085","true","0.0","0.0","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000085","false","interacts with","BacV5_Otu_000129 (interacts with) BacV5_Otu_000085"
"45679","-0.417863505372","BacV5_Otu_000106 (interacts with) BacV5_Otu_000084","true","0.0",,,"false",,"0.5","interacts with","BacV5_Otu_000106 (interacts with) BacV5_Otu_000084","false","interacts with","BacV5_Otu_000106 (interacts with) BacV5_Otu_000084"
"45680","0.854192339744","Otrad_Otu_00024 (interacts with) Otrad_Otu_00001","true","0.0","0.909937721398","Otrad_Otu_00024 (interacts with) Otrad_Otu_00001","true","0.0","0.0","interacts with","Otrad_Otu_00024 (interacts with) Otrad_Otu_00001","false","interacts with","Otrad_Otu_00024 (interacts with) Otrad_Otu_00001"
"45681","-0.416818346479","Otrad_Otu_00024 (interacts with) BacV5_Otu_000081","true","0.001",,,"false",,"0.5","interacts with","Otrad_Otu_00024 (interacts with) BacV5_Otu_000081","false","interacts with","Otrad_Otu_00024 (interacts with) BacV5_Otu_000081"
"45682","0.380347049147","BacV5_Otu_000128 (interacts with) BacV5_Otu_000077","true","0.0",,,"false",,"0.5","interacts with","BacV5_Otu_000128 (interacts with) BacV5_Otu_000077","false","interacts with","BacV5_Otu_000128 (interacts with) BacV5_Otu_000077"
"45683","0.390415497955","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104","true","0.001","-0.421086672551","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104","true","0.001","0.0","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104","false","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104"
"45684","0.418834283177","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096","false","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096"
"45685","-0.343417123568","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000076","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000076","false","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000076"
"45686","0.437013008579","BacV5_Otu_000119 (interacts with) BacV5_Otu_000113","true","0.0","0.512393173398","BacV5_Otu_000119 (interacts with) BacV5_Otu_000113","true","0.0","0.0","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000113","false","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000113"
"45687","0.438808675135","BacV5_Otu_000119 (interacts with) BacV5_Otu_000102","true","0.001","0.450885064276","BacV5_Otu_000119 (interacts with) BacV5_Otu_000102","true","0.0","0.0","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000102","false","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000102"
"45688","0.454460971391","BacV5_Otu_000119 (interacts with) BacV5_Otu_000074","true","0.0","0.554131292336","BacV5_Otu_000119 (interacts with) BacV5_Otu_000074","true","0.0","0.0","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000074","false","interacts with","BacV5_Otu_000119 (interacts with) BacV5_Otu_000074"
"45689","0.451568914595","BacV5_Otu_000113 (interacts with) BacV5_Otu_000102","true","0.0","0.539624441291","BacV5_Otu_000113 (interacts with) BacV5_Otu_000102","true","0.0","0.0","interacts with","BacV5_Otu_000113 (interacts with) BacV5_Otu_000102","false","interacts with","BacV5_Otu_000113 (interacts with) BacV5_Otu_000102"
"45690","0.389105333562","BacV5_Otu_000113 (interacts with) BacV5_Otu_000074","true","0.001","0.561217060137","BacV5_Otu_000113 (interacts with) BacV5_Otu_000074","true","0.0","0.0","interacts with","BacV5_Otu_000113 (interacts with) BacV5_Otu_000074","false","interacts with","BacV5_Otu_000113 (interacts with) BacV5_Otu_000074"
"45691","0.500112647593","BacV5_Otu_000096 (interacts with) BacV5_Otu_000085","true","0.0",,,"false",,"0.5","interacts with","BacV5_Otu_000096 (interacts with) BacV5_Otu_000085","false","interacts with","BacV5_Otu_000096 (interacts with) BacV5_Otu_000085"
"45692","0.549793930898","BacV5_Otu_000096 (interacts with) BacV5_Otu_000074","true","0.0","0.622369539546","BacV5_Otu_000096 (interacts with) BacV5_Otu_000074","true","0.0","0.0","interacts with","BacV5_Otu_000096 (interacts with) BacV5_Otu_000074","false","interacts with","BacV5_Otu_000096 (interacts with) BacV5_Otu_000074"
"45693","-0.355220674592","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073","false","interacts with","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073"
"45694","0.389775905576","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201","true","0.0",,,"false",,"0.5","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201"
"45695","0.453533497231","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092","true","0.001",,,"false",,"0.5","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092"
"45696","0.459783354638","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072","true","0.0","0.441231516351","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072","true","0.001","0.0","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072"
"45697","0.552546830039","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00018","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00018","false","interacts with","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00018"
"45698","0.564640432566","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00002","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00002","false","interacts with","Ftrad_Otu_00037 (interacts with) Ftrad_Otu_00002"
"45699","0.399666492641","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000110","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000110","false","interacts with","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000110"
"45700","-0.408811385561","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000066","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000066","false","interacts with","Ftrad_Otu_00037 (interacts with) BacV5_Otu_000066"
"45701","0.383005839787","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00041","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00041","false","interacts with","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00041"
"45702","-0.498664643584","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00011","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00011","false","interacts with","Ftrad_Otu_00058 (interacts with) Ftrad_Otu_00011"
"45703","-0.507060894957","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000069","true","0.0","-0.527242422133","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000069","true","0.0","0.0","interacts with","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000069","false","interacts with","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000069"
"45704","0.379128343467","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000065","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000065","false","interacts with","Ftrad_Otu_00058 (interacts with) BacV5_Otu_000065"
