"SUID","0.001_ 1_corsparcc.txt_Cor","0.001_ 1_corsparcc.txt_name","0.001_ 1_corsparcc.txt_present","0.001_ 1_corsparcc.txt_Pvalue","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"52002",,,"false",,"-0.400765424803","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00047","true","0.001","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00047","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00047"
"52003",,,"false",,"0.530364202173","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00061","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00061","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00061"
"52004",,,"false",,"0.454459015973","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00062","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00062","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00062"
"52005",,,"false",,"0.35428214357","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00066","true","0.001","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00066","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00066"
"52006",,,"false",,"0.338081460193","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00067","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00067","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00067"
"52007",,,"false",,"-0.409257878217","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00093","true","0.001","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00093","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00093"
"52008",,,"false",,"0.425396082713","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00124","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00124","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00124"
"52009",,,"false",,"0.429236686547","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000009","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000009","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000009"
"52010",,,"false",,"-0.426123094781","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000012","true","0.001","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000012","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000012"
"52011",,,"false",,"-0.499609946741","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000040","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000040","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000040"
"52012",,,"false",,"-0.444225828144","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000041","true","0.001","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000041","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000041"
"52013",,,"false",,"-0.426019984593","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000068","true","0.001","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000068","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000068"
"52014",,,"false",,"-0.471371696434","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000092","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000092","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000092"
"52015",,,"false",,"0.407152490991","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000105","true","0.001","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000105","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000105"
"52016",,,"false",,"-0.44302846744","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000136","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000136","false","interacts with","Ftrad_Otu_00073 (interacts with) BacV5_Otu_000136"
"52017",,,"false",,"0.478343389945","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00010","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00010","false","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00010"
"52018",,,"false",,"0.549170826334","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00015","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00015","false","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00015"
"52019",,,"false",,"0.491116774097","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00040","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00040","false","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00040"
"52020",,,"false",,"0.45792270468","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00055","true","0.0","0.5","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00055","false","interacts with","Ftrad_Otu_00073 (interacts with) Ftrad_Otu_00055"
